t	F	u1.1	u1.2	u2	u3	u4	u5
0	0	0.00	0.00	0.00	0.00	0.00	0.00
66	2	1.10	1.00	0.72	0.75	0.00	0.00
91	4	2.50	2.45	1.88	1.85	0.00	0.00
120	6	4.95	4.90	3.80	3.95	0.00	0.00
180	8	5.50	5.50	4.30	4.15	0.00	0.00
207	10	6.95	7.00	5.40	5.25	0.00	0.00
230	12	8.45	8.40	6.55	6.32	0.00	0.00
235	14	9.95	9.00	7.75	7.44	0.00	0.00
277	16	11.50	11.50	8.90	8.57	0.00	0.00
295	18	12.95	13.00	10.70	9.69	0.00	0.00
312	20	14.35	14.50	11.30	10.80	0.00	0.00
332	22	16.00	16.00	12.05	11.98	0.00	0.00
357	24	17.40	17.50	13.60	13.00	0.00	0.00
380	26	18.90	19.10	14.80	14.14	0.00	0.00
407	28	20.45	20.70	16.00	15.32	0.01	0.00
432	30	23.05	22.30	17.85	16.49	0.03	0.00
457	32	23.60	24.00	18.40	17.60	0.04	0.00
480	34	25.00	25.40	19.60	18.86	0.06	0.00
497	36	26.70	27.00	20.90	19.98	0.08	0.00
517	38	28.40	28.70	22.10	21.20	0.09	0.09
537	40	28.80	30.20	23.40	23.38	0.11	0.11
559	42	31.40	31.70	24.70	23.62	0.14	0.20
580	44	33.10	33.70	26.00	24.96	0.18	0.28
600	46	34.80	35.20	27.40	26.22	0.20	0.33
624	48	36.60	37.00	28.90	27.72	0.25	0.40
646	50	38.40	39.80	30.30	28.85	0.30	0.50
669	52	40.30	40.70	31.80	30.75	0.35	0.55
695	54	43.30	42.80	33.50	32.30	0.42	0.90
720	56	44.40	44.90	35.50	34.02	0.48	1.10
751	58	47.90	47.50	37.20	36.70	0.55	1.50
1300	60	48.71	48.89	37.95	37.50	1.41	5.50
1330	62	48.90	52.45	39.20	38.90	1.45	6.20
1350	64	59.70	58.70	40.50	40.20	1.52	6.40
1369	66	62.90	61.90	44.10	41.70	1.60	7.00
1383	68	64.90	64.10	44.20	43.70	1.69	8.50
1404	70	66.60	66.30	46.65	46.00	1.85	11.50
1427	72	70.10	70.00	49.90	48.70	2.05	14.30
1452	74	73.70	74.00	52.50	51.60	2.20	18.50
1478
