F	1Versuch_u1	1Versuch_u2	2Versuch_u1	2Versuch_u2	F1	V1	V2
0	0.00	0.00	0.00	0.00	230	0.00	0.00
5	0.00	0.00	0.00	0.00	235	0.03	0.07
10	0.06	0.00	0.00	0.00	240	0.07	0.15
15	0.14	0.03	0.02	0.02	245	0.09	0.19
20	0.22	0.07	0.02	0.02	250	0.12	0.23
25	0.28	0.11	0.02	0.02	255	0.16	0.30
30	0.36	0.15	0.02	0.02	260	0.19	0.35
35	0.42	0.20	0.02	0.02	265	0.23	0.38
40	0.48	0.24	0.02	0.03	270	0.26	0.43
45	0.55	0.27	0.02	0.03	275	0.32	0.48
50	0.60	0.31	0.02	0.03	280	0.34	0.55
55	0.65	0.34	0.02	0.03	285	0.39	0.60
60	0.72	0.38	0.03	0.03	290	0.44	0.67
65	0.76	0.41	0.05	0.05	295	0.49	0.73
70	0.82	0.44	0.05	0.05	300	0.55	0.80
75	0.88	0.48	0.05	0.05	305	0.61	0.89
80	0.92	0.51	0.05	0.05	310	0.70	0.97
85	0.99	0.54	0.06	0.07	315	0.78	1.05
90	1.05	0.57	0.06	0.07	320	0.87	1.15
95	1.09	0.59	0.06	0.07	325	0.97	1.25
100	1.14	0.63	0.07	0.08	330	1.09	1.37
105	1.18	0.66	0.07	0.08	335	1.27	1.49
110	1.25	0.70	0.07	0.08	340	1.43	1.65
115	1.28	0.73	0.08	0.09	345	1.66	1.85
120	1.33	0.76	0.08	0.09	350	2.01	1.97
125	1.35	0.80	0.09	0.10			
130	1.37	0.82	0.09	0.11			
135	1.40	0.85	0.10	0.11			
140	1.42	0.88	0.10	0.11			
145	1.46	0.90	0.10	0.11			
150	1.52	0.95	0.10	0.12			
155	1.55	0.96	0.10	0.13			
160	1.58	1.01	0.11	0.13			
165	1.62	1.04	0.12	0.14			
170	1.67	1.07	0.12	0.14			
175	1.71	1.10	0.12	0.15			
180	1.77	1.12	0.13	0.16			
185	1.81	1.16	0.15	0.16			
190	1.85	1.18	0.16	0.17			
195	1.89	1.21	0.17	0.18			
200	1.93	1.24	0.18	0.19			
205	1.98	1.27	0.20	0.21			
210	2.02	1.30	0.21	0.22			
215	2.06	1.32	0.23	0.23			
220	2.12	1.35	0.27	0.26			
225	2.15	1.38	0.32	0.32			
230	2.20	1.41	0.77	0.73			
235	2.25	1.44	0.84	0.80			
240	2.30	1.48	0.91	0.88			
245	2.35	1.50	0.97	0.92			
250	2.41	1.53	1.03	0.96			
255	2.46	1.57	1.08	1.03			
260	2.52	1.60	1.12	1.08			
265	2.58	1.64	1.18	1.11			
270	2.66	1.67	1.22	1.16			
275	2.71	1.73	1.30	1.21			
280	2.78	1.75	1.35	1.28			
285	2.85	1.80	1.42	1.33			
290	2.92	1.85	1.50	1.40			
295	3.05	1.90	1.58	1.46			
300	3.10	1.96	1.62	1.53			
305	3.22	2.02	1.72	1.62			
310	3.32	2.11	1.82	1.70			
315	3.46	2.19	1.92	1.78			
320	3.58	2.28	2.02	1.88			
325	3.70	2.38	2.12	1.98			
330	3.85	2.50	2.24	2.10			
335	4.03	2.68	2.40	2.22			
340	4.25	2.84	2.55	2.38			
345	4.55	3.07	2.75	2.58			
350	5.00	3.42					
355	5.55	3.88					
