F	Flast	zeit	     	Time	u1	u2	u3	u4	u5
0	0.00	00.04.20		0.00	0	0	0	0	0
2	1.11	00.04.46		26.00	1.02	0.80	0.85	0.05	0.04
4	2.22	00.05.08		48.00	3.50	2.65	2.60	0.12	0.16
6	3.33	00.05.23		63.00	6.00	4.50	4.75	0.24	0.26
8	4.44	00.05.57		97.00	9.10	6.70	7.20	0.40	0.44
10	5.56	00.06.18		118.00	11.20	8.30	8.90	0.50	0.54
12	6.67	00.06.33		133.00	13.70	10.20	10.90	0.62	0.67
14	7.78	00.06.47		147.00	16.20	12.00	12.80	0.78	0.81
16	8.89	00.07.01		161.00	18.90	14.80	14.90	0.92	0.95
18	10.00	00.07.15		175.00	21.70	15.90	17.00	1.10	1.12
20	11.11	00.07.30		190.00	24.70	17.20	19.50	1.30	1.31
22	12.22	00.07.46		206.00	28.00	19.20	22.00	1.52	1.53
24	13.33	00.08.05		225.00	32.00	22.50	25.20	1.82	1.83
26	14.44	00.08.26		246.00	35.30	26.00	26.90	2.22	2.21
28	15.56	00.08.52		272.00	42.70	30.00	33.20	2.75	2.70
30	16.67	00.09.20		300.00	47.90	37.40	38.20	3.50	3.25
