Time	u1	u2	u3	u555	u444	u5	u4	F	u 5.2
0.00	0	0	0	0	0	0	0	0	0
1.00	0.4	0.4	0.5	-0.2	0	0.2	0	0.1	9.91
6.00	0.4	0.4	0.5	-0.2	0	0.2	0	0.1	9.91
11.00	0.4	0.4	0.5	-0.2	0	0.2	0	0.2	9.91
16.00	0.5	0.4	0.5	-0.2	0	0.2	0	0.4	9.91
21.00	0.5	0.4	0.6	-0.2	0	0.2	0	0.5	9.96
26.00	0.6	0.5	0.6	-0.2	0	0.2	0	0.6	10.03
31.00	0.7	0.5	0.7	-0.2	0	0.2	0	0.7	10.09
36.00	0.8	0.6	0.7	-0.2	0	0.2	0	0.9	10.17
41.00	0.8	0.6	0.9	-0.2	0	0.2	0	1	10.27
46.00	1	0.7	0.9	-0.2	0	0.2	0	1.1	10.36
51.00	1	0.8	1	-0.2	0	0.2	0	1.3	10.45
56.00	1.1	0.9	1	-0.2	0	0.2	0	1.4	10.57
61.00	1.2	0.9	1.1	-0.2	0	0.2	0	1.5	10.65
66.00	1.3	1	1.1	-0.2	0	0.2	0	1.7	10.71
71.00	1.4	1	1.2	-0.2	0	0.2	0	1.8	10.78
76.00	1.5	1.1	1.2	-0.2	0	0.2	0	1.9	10.86
81.00	1.6	1.2	1.3	-0.2	0	0.2	0	2	10.92
86.00	1.6	1.3	1.4	-0.2	0	0.2	0	2.1	10.98
91.00	1.7	1.3	1.4	-0.2	0	0.2	0	2.2	11.05
96.00	1.8	1.4	1.5	-0.2	0	0.2	0	2.4	11.13
101.00	1.9	1.5	1.6	-0.2	0	0.2	0	2.5	11.2
106.00	2	1.6	1.7	-0.2	0	0.2	0	2.6	11.26
111.00	2	1.6	1.8	-0.2	0	0.2	0	2.7	11.31
116.00	2	1.6	1.8	-0.2	0	0.2	0	2.7	11.31
121.00	2	1.6	1.8	-0.2	0	0.2	0	2.7	11.31
126.00	2	1.6	1.8	-0.2	0	0.2	0	2.7	11.31
131.00	2	1.6	1.8	-0.2	0	0.2	0	2.7	11.31
136.00	2	1.6	1.8	-0.2	0	0.2	0	2.7	11.31
141.00	2	1.6	1.8	-0.2	0	0.2	0	2.7	11.34
146.00	2.2	1.6	1.8	-0.2	0	0.2	0	2.9	11.41
151.00	2.3	1.7	1.9	-0.2	0	0.2	0	3	11.47
156.00	2.4	1.8	2	-0.2	0	0.2	0	3.1	11.55
161.00	2.4	1.8	2	-0.2	0	0.2	0	3.2	11.61
166.00	2.5	1.9	2.1	-0.2	0	0.2	0	3.4	11.68
171.00	2.6	1.9	2.1	-0.2	0	0.2	0	3.5	11.76
176.00	2.7	2	2.2	-0.2	0	0.2	0	3.6	11.83
181.00	2.7	2.1	2.3	-0.2	0	0.2	0	3.8	11.89
186.00	2.9	2.1	2.4	-0.2	0	0.2	0	3.9	11.95
191.00	2.9	2.2	2.5	-0.2	0	0.2	0	4	12.03
196.00	3	2.3	2.5	-0.2	0	0.2	0	4.1	12.1
201.00	3.1	2.4	2.6	-0.2	0	0.2	0	4.2	12.18
206.00	3.2	2.5	2.7	-0.2	0	0.2	0	4.3	12.24
211.00	3.3	2.5	2.7	-0.2	0	0.2	0	4.5	12.33
216.00	3.4	2.6	2.8	-0.2	0	0.2	0	4.6	12.4
221.00	3.5	2.6	2.8	-0.2	0	0.2	0	4.7	12.46
226.00	3.6	2.7	2.9	-0.2	0	0.2	0	4.9	12.54
231.00	3.7	2.7	3	-0.2	0	0.2	0	5	12.63
236.00	3.7	2.8	3.1	-0.2	0	0.2	0	5.1	12.72
241.00	3.8	2.9	3.2	-0.2	0	0.2	0	5.2	12.79
246.00	4	3	3.2	-0.2	0	0.2	0	5.3	12.87
251.00	4	3	3.3	-0.2	0	0.2	0	5.4	12.9
256.00	4	3	3.3	-0.2	0	0.2	0	5.4	12.9
261.00	4	3	3.3	-0.2	0	0.2	0	5.4	12.9
266.00	4	3	3.3	-0.2	0	0.2	0	5.4	12.91
271.00	4	3	3.3	-0.2	0	0.2	0	5.4	12.91
276.00	4	3	3.3	-0.2	0	0.2	0	5.4	12.91
281.00	4	3	3.3	-0.2	0	0.2	0	5.4	12.91
286.00	4	3	3.3	-0.2	0	0.2	0	5.3	12.91
291.00	4	3	3.3	-0.2	0	0.2	0	5.2	12.91
296.00	4	3	3.3	-0.2	0	0.2	0	5.1	12.91
301.00	4	3	3.3	-0.2	0	0.2	0	4.9	12.91
306.00	4	3	3.3	-0.2	0	0.2	0	4.8	12.91
311.00	4	3	3.2	-0.2	0	0.2	0	4.7	12.82
316.00	4	2.9	3.3	-0.2	0	0.2	0	4.6	12.73
321.00	4	2.9	3.3	-0.2	0	0.2	0	4.5	12.64
326.00	3.8	2.8	3.3	-0.2	0	0.2	0	4.3	12.57
331.00	3.8	2.7	3.3	-0.2	0	0.2	0	4.2	12.49
336.00	3.7	2.7	3.3	-0.2	0	0.2	0	4.1	12.4
341.00	3.7	2.7	3.2	-0.2	0	0.2	0	4	12.33
346.00	3.6	2.6	3.2	-0.2	0	0.2	0	3.8	12.28
351.00	3.5	2.6	3.1	-0.2	0	0.2	0	3.7	12.21
356.00	3.4	2.5	3	-0.2	0	0.2	0	3.6	12.12
361.00	3.3	2.5	2.9	-0.2	0	0.2	0	3.5	12.07
366.00	3.2	2.4	2.9	-0.2	0	0.2	0	3.4	12.01
371.00	3.2	2.3	2.8	-0.2	0	0.2	0	3.2	11.94
376.00	3.1	2.2	2.7	-0.2	0	0.2	0	3.1	11.89
381.00	3	2.2	2.7	-0.2	0	0.2	0	3	11.82
386.00	2.9	2.1	2.6	-0.2	0	0.2	0	2.8	11.76
391.00	2.9	2	2.6	-0.2	0	0.2	0	2.7	11.68
396.00	2.8	2	2.5	-0.2	0	0.2	0	2.7	11.65
401.00	2.8	2	2.5	-0.2	0	0.2	0	2.9	11.65
406.00	2.8	2	2.5	-0.2	0	0.2	0	3	11.65
411.00	2.8	2	2.5	-0.2	0	0.2	0	3.1	11.65
416.00	2.8	2	2.5	-0.2	0	0.2	0	3.2	11.68
421.00	2.9	2	2.6	-0.2	0	0.2	0	3.4	11.76
426.00	2.9	2.1	2.6	-0.2	0	0.2	0	3.5	11.82
431.00	2.9	2.2	2.6	-0.2	0	0.2	0	3.6	11.88
436.00	3	2.2	2.5	-0.2	0	0.2	0	3.8	11.94
441.00	3.1	2.3	2.6	-0.2	0	0.2	0	3.9	12.01
446.00	3.1	2.4	2.6	-0.2	0	0.2	0	4	12.12
451.00	3.2	2.5	2.7	-0.2	0	0.2	0	4.1	12.19
456.00	3.3	2.5	2.8	-0.2	0	0.2	0	4.2	12.31
461.00	3.4	2.6	2.8	-0.2	0	0.2	0	4.3	12.4
466.00	3.5	2.6	2.9	-0.2	0	0.2	0	4.5	12.46
471.00	3.6	2.7	2.9	-0.2	0	0.2	0	4.6	12.54
476.00	3.7	2.7	3	-0.2	0	0.2	0	4.7	12.61
481.00	3.7	2.8	3.1	-0.2	0	0.2	0	4.9	12.67
486.00	3.8	2.8	3.2	-0.2	0	0.2	0	5	12.75
491.00	3.9	2.9	3.2	-0.2	0	0.2	0	5.1	12.81
496.00	4	3	3.3	-0.2	0	0.2	0	5.2	12.88
501.00	4.1	3	3.4	-0.2	0	0.2	0	5.3	12.94
506.00	4.2	3.1	3.4	-0.2	0	0.2	0	5.5	13.02
511.00	4.3	3.1	3.5	-0.2	0	0.2	0	5.6	13.09
516.00	4.3	3.3	3.6	-0.2	0	0.2	0	5.7	13.17
521.00	4.4	3.3	3.6	-0.2	0	0.2	0	5.9	13.24
526.00	4.6	3.4	3.7	-0.2	0	0.2	0	6	13.32
531.00	4.7	3.5	3.8	-0.2	0	0.2	0	6.1	13.38
536.00	4.8	3.6	3.9	-0.2	0	0.2	0	6.2	13.47
541.00	4.9	3.7	4	-0.2	0	0.2	0	6.3	13.54
546.00	5	3.7	4	-0.2	0	0.2	0	6.4	13.62
551.00	5.1	3.8	4.1	-0.2	0	0.2	0	6.6	13.71
556.00	5.2	3.9	4.2	-0.2	0	0.2	0	6.7	13.77
561.00	5.3	4	4.3	-0.2	0	0.2	0	6.8	13.87
566.00	5.3	4	4.3	-0.2	0	0.2	0	6.9	13.93
571.00	5.4	4.1	4.3	-0.2	0	0.2	0	7.1	14.01
576.00	5.6	4.2	4.4	-0.2	0	0.2	0	7.2	14.1
581.00	5.6	4.2	4.5	-0.2	0	0.2	0	7.3	14.29
586.00	5.7	4.2	4.5	-0.2	-0.1	0.2	0.1	7.3	16.12
591.00	5.7	4.3	4.6	-0.2	-0.1	0.2	0.1	7.4	18.97
596.00	6.1	4.7	4.8	-0.2	-0.1	0.2	0.1	8.2	21.12
601.00	6.2	4.7	5	-0.2	-0.1	0.2	0.1	7.9	20.98
606.00	6.2	4.7	5	-0.2	-0.1	0.2	0.1	8	20.98
611.00	6.2	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.03
616.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.04
621.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.04
626.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.04
631.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.04
636.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.04
641.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.06
646.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.06
651.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.06
656.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.06
661.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.06
666.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.07
671.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.07
676.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.07
681.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.07
686.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.09
691.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.09
696.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.09
701.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.09
706.00	6.3	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.09
711.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.09
716.00	6.3	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.09
721.00	6.3	4.7	5	-0.2	-0.1	0.2	0.1	8.1	21.1
726.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.1
731.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.1
736.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
741.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
746.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
751.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
756.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
761.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
766.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
771.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
776.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
781.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
786.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
791.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
796.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
801.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.12
806.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
811.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
816.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
821.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
826.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
831.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
836.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
841.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
846.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
851.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
856.00	6.4	4.8	5	-0.2	-0.1	0.2	0.1	8.1	21.13
