Time	F	u1	u2 	u3	u44	u55	u4	u5
0.00	0.00	0	0	0	0	0	0	0
5.00	1.10	1.6	1.1	0	0	0	0	0
10.00	1.30	1.7	1.2	0.09	0	0	0	0
15.00	1.40	1.8	1.2	0.16	0	0	0	0
20.00	1.50	1.9	1.3	0.24	0	0	0	0
25.00	1.70	2	1.4	0.36	0	0	0	0
30.00	1.70	2.1	1.5	0.46	0	0	0	0
35.00	1.90	2.3	1.6	0.57	-0.1	0	0.1	0
40.00	2.00	2.4	1.8	0.67	-0.1	0	0.1	0
45.00	2.10	2.6	1.9	0.81	-0.1	-0.1	0.1	0.1
50.00	2.20	2.7	2	0.94	-0.2	-0.1	0.2	0.1
55.00	2.40	2.8	2.2	1.09	-0.2	-0.1	0.2	0.1
60.00	2.50	2.9	2.3	1.21	-0.2	-0.1	0.2	0.1
65.00	2.60	3.1	2.5	1.38	-0.2	-0.1	0.2	0.1
70.00	2.70	3.2	2.6	1.48	-0.3	-0.1	0.3	0.1
75.00	2.60	3.2	2.6	1.51	-0.3	-0.1	0.3	0.1
80.00	2.60	3.3	2.6	1.56	-0.3	-0.1	0.3	0.1
85.00	2.60	3.4	2.7	1.62	-0.3	-0.1	0.3	0.1
90.00	2.60	3.4	2.7	1.63	-0.3	-0.2	0.3	0.2
95.00	2.70	3.4	2.7	1.66	-0.3	-0.1	0.3	0.1
100.00	2.60	3.4	2.8	1.69	-0.3	-0.2	0.3	0.2
105.00	2.60	3.5	2.8	1.72	-0.3	-0.2	0.3	0.2
110.00	2.70	3.5	2.9	1.74	-0.3	-0.2	0.3	0.2
115.00	2.60	3.5	2.9	1.77	-0.3	-0.2	0.3	0.2
120.00	2.60	3.5	2.9	1.78	-0.3	-0.2	0.3	0.2
125.00	2.60	3.6	2.9	1.8	-0.3	-0.2	0.3	0.2
130.00	2.60	3.6	2.9	1.83	-0.3	-0.2	0.3	0.2
135.00	2.60	3.6	2.9	1.84	-0.3	-0.2	0.3	0.2
140.00	2.60	3.6	3	1.86	-0.3	-0.2	0.3	0.2
145.00	2.70	3.6	3	1.89	-0.3	-0.2	0.3	0.2
150.00	2.60	3.6	3	1.9	-0.3	-0.2	0.3	0.2
155.00	2.60	3.6	3	1.9	-0.3	-0.2	0.3	0.2
160.00	2.70	3.6	3	1.92	-0.3	-0.2	0.3	0.2
165.00	2.60	3.7	3	1.95	-0.3	-0.2	0.3	0.2
170.00	2.70	3.7	3	1.96	-0.3	-0.2	0.3	0.2
175.00	2.60	3.7	3	1.96	-0.3	-0.2	0.3	0.2
180.00	2.70	3.7	3.1	1.96	-0.3	-0.2	0.3	0.2
185.00	2.60	3.7	3.1	1.96	-0.3	-0.2	0.3	0.2
190.00	2.70	3.8	3.1	2.02	-0.3	-0.2	0.3	0.2
195.00	2.90	3.9	3.2	2.13	-0.3	-0.2	0.3	0.2
200.00	3.00	4	3.3	2.23	-0.4	-0.2	0.4	0.2
205.00	3.10	4.1	3.4	2.34	-0.4	-0.2	0.4	0.2
210.00	3.20	4.2	3.5	2.47	-0.4	-0.2	0.4	0.2
215.00	3.40	4.3	3.6	2.61	-0.4	-0.2	0.4	0.2
220.00	3.50	4.6	3.7	2.71	-0.5	-0.2	0.5	0.2
225.00	3.60	4.7	3.9	2.86	-0.5	-0.3	0.5	0.3
230.00	3.70	4.9	4	3	-0.5	-0.3	0.5	0.3
235.00	3.90	5.1	4.2	3.19	-0.5	-0.3	0.5	0.3
240.00	4.00	5.2	4.3	3.34	-0.5	-0.3	0.5	0.3
245.00	4.10	5.4	4.5	3.54	-0.6	-0.3	0.6	0.3
250.00	4.20	5.7	4.7	3.73	-0.6	-0.3	0.6	0.3
255.00	4.30	5.9	4.9	3.9	-0.6	-0.3	0.6	0.3
260.00	4.50	6.1	5.1	4.08	-0.6	-0.3	0.6	0.3
265.00	4.60	6.2	5.3	4.27	-0.6	-0.4	0.6	0.4
270.00	4.70	6.4	5.5	4.5	-0.6	-0.4	0.6	0.4
275.00	4.80	6.6	5.7	4.69	-0.6	-0.4	0.6	0.4
280.00	5.00	6.9	6	4.92	-0.7	-0.4	0.7	0.4
285.00	5.10	7	6.2	5.14	-0.8	-0.4	0.8	0.4
290.00	5.20	7.3	6.4	5.38	-0.8	-0.5	0.8	0.5
295.00	5.40	7.5	6.6	5.64	-0.9	-0.5	0.9	0.5


