F3	BT3u4	BT3u5	F4	BT4u4	BT4u5	F1	BT1u4	BT1u5	F2	BT2u4	BT2u5
0	0	0	0	0	0	0	0	0	0	0	0
0.1	0.2	0	1.1	1.1	1.6	2	0	0	2	0.05	0.04
0.1	0.2	0	1.3	1.3	1.7	4	0	0	4	0.12	0.16
0.2	0.2	0	1.4	1.4	1.8	6	0	0	6	0.24	0.26
0.4	0.2	0	1.5	1.5	1.9	8	0	0	8	0.4	0.44
0.5	0.2	0	1.7	1.7	2	10	0	0	10	0.5	0.54
0.6	0.2	0	1.7	1.7	2.1	12	0	0	12	0.62	0.67
0.7	0.2	0	1.9	1.9	2.3	14	0	0	14	0.78	0.81
0.9	0.2	0	2	2	2.4	16	0	0	16	0.92	0.95
1	0.2	0	2.1	2.1	2.6	18	0	0	18	1.1	1.12
1.1	0.2	0	2.2	2.2	2.7	20	0	0	20	1.3	1.31
1.3	0.2	0	2.4	2.4	2.8	22	0	0	22	1.52	1.53
1.4	0.2	0	2.5	2.5	2.9	24	0	0	24	1.82	1.83
1.5	0.2	0	2.6	2.6	3.1	26	0	0	26	2.22	2.21
1.7	0.2	0	2.7	2.7	3.2	28	0.01	0	28	2.75	2.7
1.8	0.2	0	2.6	2.6	3.2	30	0.03	0	30	3.5	3.25
1.9	0.2	0	2.6	2.6	3.3	32	0.04	0			
2	0.2	0	2.6	2.6	3.4	34	0.06	0			
2.1	0.2	0	2.6	2.6	3.4	36	0.08	0			
2.2	0.2	0	2.7	2.7	3.4	38	0.09	0.09			
2.4	0.2	0	2.6	2.6	3.4	40	0.11	0.11			
2.5	0.2	0	2.6	2.6	3.5	42	0.14	0.2			
2.6	0.2	0	2.7	2.7	3.5	44	0.18	0.28			
2.7	0.2	0	2.6	2.6	3.5	46	0.2	0.33			
2.7	0.2	0	2.6	2.6	3.5	48	0.25	0.4			
2.7	0.2	0	2.6	2.6	3.6	50	0.3	0.5			
2.7	0.2	0	2.6	2.6	3.6	52	0.35	0.55			
2.7	0.2	0	2.6	2.6	3.6	54	0.42	0.9			
2.7	0.2	0	2.6	2.6	3.6	56	0.48	1.1			
2.7	0.2	0	2.7	2.7	3.6	58	0.55	1.5			
2.9	0.2	0	2.6	2.6	3.6	60	0.86	4			
3	0.2	0	2.6	2.6	3.6						
3.1	0.2	0	2.7	2.7	3.6						
3.2	0.2	0	2.6	2.6	3.7						
3.4	0.2	0	2.7	2.7	3.7						
3.5	0.2	0	2.6	2.6	3.7						
3.6	0.2	0	2.7	2.7	3.7						
3.8	0.2	0	2.6	2.6	3.7						
3.9	0.2	0	2.7	2.7	3.8						
4	0.2	0	2.9	2.9	3.9						
4.1	0.2	0	3	3	4						
4.2	0.2	0	3.1	3.1	4.1						
4.3	0.2	0	3.2	3.2	4.2						
4.5	0.2	0	3.4	3.4	4.3						
4.6	0.2	0	3.5	3.5	4.6						
4.7	0.2	0	3.6	3.6	4.7						
4.9	0.2	0	3.7	3.7	4.9						
5	0.2	0	3.9	3.9	5.1						
5.1	0.2	0									
5.2	0.2	0									
5.3	0.2	0									
5.4	0.2	0									
5.4	0.2	0									
5.4	0.2	0									
5.4	0.2	0									
5.4	0.2	0									
5.4	0.2	0									
5.4	0.2	0									
5.3	0.2	0									
5.2	0.2	0									
5.1	0.2	0									
4.9	0.2	0									
4.8	0.2	0									
4.7	0.2	0									
4.6	0.2	0									
4.5	0.2	0									
4.3	0.2	0									
4.2	0.2	0									
4.1	0.2	0									
4	0.2	0									
3.8	0.2	0									
3.7	0.2	0									
3.6	0.2	0									
3.5	0.2	0									
3.4	0.2	0									
3.2	0.2	0									
3.1	0.2	0									
3	0.2	0									
2.8	0.2	0									
2.7	0.2	0									
2.7	0.2	0									
2.9	0.2	0									
3	0.2	0									
3.1	0.2	0									
3.2	0.2	0									
3.4	0.2	0									
3.5	0.2	0									
3.6	0.2	0									
3.8	0.2	0									
3.9	0.2	0									
4	0.2	0									
4.1	0.2	0									
4.2	0.2	0									
4.3	0.2	0									
4.5	0.2	0									
4.6	0.2	0									
4.7	0.2	0									
4.9	0.2	0									
5	0.2	0									
5.1	0.2	0									
5.2	0.2	0									
5.3	0.2	0									
5.5	0.2	0									
5.6	0.2	0									
5.7	0.2	0									
5.9	0.2	0									
6	0.2	0									
6.1	0.2	0									
6.2	0.2	0									
6.3	0.2	0									
6.4	0.2	0									
6.6	0.2	0									
6.7	0.2	0									
6.8	0.2	0									
6.9	0.2	0									
7.1	0.2	0									
7.2	0.2	0									
7.3	0.2	0									
7.3	0.2	0.1									
7.4	0.2	0.1									
8.2	0.2	0.1									
7.9	0.2	0.1									
8	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.1	0.2	0.1									
8.3	0.2	0.1									
8.5	0.2	0.1									
8.8	0.2	0.1									
9.1	0.2	0.1									
9.3	0.2	0.1									
9.6	0.2	0.1									
9.8	0.2	0.1									
10	0.2	0.1									
10.3	0.2	0.1									
10.5	0.2	0.1									
10.8	0.2	0.1									
11	0.2	0.1									
11.3	0.2	0.1									
11.6	0.3	0.1									
11.8	0.3	0.1									
12	0.3	0.1									
12.3	0.3	0.1									
12.5	0.3	0.1									
12.8	0.3	0.1									
13	0.3	0.1									
13.3	0.3	0.1									
13.5	0.3	0.1									
13.8	0.3	0.1									
14	0.3	0.1									
14.3	0.3	0.1									
14.5	0.3	0.1									
14.8	0.3	0.1									
15	0.3	0.1									
15	0.3	0.1									
15	0.3	0.1									
15	0.3	0.1									
15	0.3	0.1									
15	0.3	0.1									
15	0.3	0.1									
15.2	0.3	0.1									
15.5	0.3	0.1									
15.8	0.3	0.1									
16	0.3	0.1									
16.2	0.3	0.1									
16.5	0.3	0.1									
16.7	0.3	0.1									
17	0.3	0.1									
17.2	0.3	0.1									
17.5	0.3	0.1									
17.7	0.3	0.1									
18	0.3	0.1									
18.2	0.3	0.1									
18.4	0.3	0.2									
18.7	0.3	0.2									
19	0.3	0.2									
19.2	0.3	0.2									
19.4	0.3	0.2									
19.7	0.3	0.2									
20	0.3	0.2									
20.2	0.3	0.2									
20.4	0.3	0.2									
20.7	0.3	0.2									
20.9	0.3	0.2									
21.2	0.3	0.2									
21.4	0.3	0.2									
21.7	0.3	0.2									
21.9	0.3	0.2									
22.2	0.3	0.2									
22.4	0.3	0.2									
22.7	0.3	0.2									
22.9	0.3	0.2									
23.2	0.3	0.2									
23.4	0.3	0.2									
23.7	0.3	0.2									
23.9	0.3	0.2									
24.2	0.3	0.2									
24.4	0.3	0.2									
24.7	0.3	0.2									
24.9	0.3	0.2									
25	0.3	0.2									
25	0.3	0.2									
25	0.3	0.2									
25	0.3	0.2									
25	0.3	0.2									
25	0.3	0.2									
25.2	0.3	0.2									
25.4	0.3	0.2									
25.7	0.3	0.2									
25.9	0.3	0.2									
26.2	0.3	0.2									
26.4	0.3	0.2									
26.6	0.3	0.2									
26.9	0.3	0.2									
27.2	0.4	0.2									
27.4	0.4	0.2									
27.6	0.4	0.2									
27.9	0.4	0.2									
28.2	0.4	0.2									
28.4	0.4	0.2									
28.6	0.4	0.2									
28.9	0.4	0.2									
29.1	0.4	0.2									
29.4	0.4	0.2									
29.7	0.4	0.2									
29.9	0.4	0.2									
30.1	0.4	0.2									
30.4	0.4	0.2									
30.6	0.4	0.2									
30.8	0.4	0.2									
31.1	0.4	0.2									
31.4	0.4	0.2									
31.6	0.4	0.2									
31.8	0.4	0.2									
32.1	0.4	0.2									
32.4	0.4	0.2									
32.6	0.4	0.2									
32.9	0.4	0.2									
33.1	0.4	0.2									
33.4	0.4	0.2									
33.6	0.4	0.2									
33.9	0.4	0.2									
34.1	0.4	0.2									
34.4	0.4	0.2									
34.6	0.4	0.2									
34.8	0.4	0.2									
35	0.4	0.2									
35	0.4	0.2									
35	0.4	0.2									
35	0.4	0.2									
35	0.4	0.2									
35	0.4	0.2									
35	0.5	0.2									
35	0.4	0.2									
35	0.4	0.2									
35	0.5	0.2									
35	0.4	0.2									
35	0.5	0.2									
35	0.4	0.2									
35	0.4	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
35	0.5	0.2									
