F	w1versuch1	w1
0.00	0.00		0.00
2.00	1.10		1.54
4.00	2.50		3.08
6.00	4.95		4.62
8.00	5.50		6.16
10.00	6.95		7.70
12.00	8.45		9.24
14.00	9.95		10.78
16.00	11.50		12.32
18.00	12.95		13.86
20.00	14.35		15.40
22.00	16.00		16.94
24.00	17.40		18.48
26.00	18.90		20.02
28.00	20.45		21.56
30.00	23.05		23.10
32.00	23.60		24.64
34.00	25.00		26.18
36.00	26.70		27.72
38.00	28.40		29.26
40.00	28.80		30.80
42.00	31.40		32.34
44.00	33.10		33.88
46.00	34.80		35.42
48.00	36.60		36.95
50.00	38.40		38.49
52.00	40.30		40.03
54.00	43.30		41.57
56.00	44.40		43.11
58.00	47.90		44.65
60.00	49.71		46.19
62.00	52.90		47.73
64.00	59.70		49.27
66.00	62.90		50.81
68.00	64.90		52.35
70.00	66.60		53.89
72.00	70.10		55.43
