F	w1versuch3	w1	sigma	hsigma		tau	h_tau
0.00	0.00	0.00		0.00	32.80		0.00	32.80
0.10	0.40	0.08		-6.07	32.80		1.51	26.80
0.10	0.40	0.08		-2.97	26.80		1.53	11.80
0.20	0.40	0.16		0.00	26.80		0.00	0.00
0.40	0.50	0.32		0.00	11.80			
0.50	0.50	0.40		1.90	11.80			
0.60	0.60	0.48		4.09	0.00			
0.70	0.70	0.56		0.00	0.00			
0.90	0.80	0.72						
1.00	0.80	0.80						
1.10	1.00	0.88						
1.30	1.00	1.04						
1.40	1.10	1.12						
1.50	1.20	1.20						
1.70	1.30	1.36						
1.80	1.40	1.44						
1.90	1.50	1.52						
2.00	1.60	1.60						
2.10	1.60	1.68						
2.20	1.70	1.76						
2.40	1.80	1.92						
2.50	1.90	2.00						
2.60	2.00	2.08						
2.70	2.00	2.16						
2.70	2.00	2.16						
2.70	2.00	2.16						
2.70	2.00	2.16						
2.70	2.00	2.16						
2.70	2.00	2.16						
2.70	2.00	2.16						
2.90	2.20	2.32						
3.00	2.30	2.40						
3.10	2.40	2.48						
3.20	2.40	2.56						
3.40	2.50	2.72						
3.50	2.60	2.80						
3.60	2.70	2.89						
3.80	2.70	3.05						
3.90	2.90	3.13						
4.00	2.90	3.21						
4.10	3.00	3.29						
4.20	3.10	3.37						
4.30	3.20	3.45						
4.50	3.30	3.61						
4.60	3.40	3.69						
4.70	3.50	3.77						
4.90	3.60	3.93						
5.00	3.70	4.01						
5.10	3.70	4.09						
5.20	3.80	4.17						
5.30	4.00	4.25						
5.40	4.00	4.33						
5.40	4.00	4.33						
5.40	4.00	4.33						
5.40	4.00	4.33						
5.40	4.00	4.33						
5.40	4.00	4.33						
5.40	4.00	4.33						
5.30	4.00	4.25						
5.20	4.00	4.17						
5.10	4.00	4.09						
4.90	4.00	3.93						
4.80	4.00	3.85						
4.70	4.00	3.77						
4.60	4.00	3.69						
4.50	4.00	3.61						
4.30	3.80	3.45						
4.20	3.80	3.37						
4.10	3.70	3.29						
4.00	3.70	3.21						
3.80	3.60	3.05						
3.70	3.50	2.97						
3.60	3.40	2.89						
3.50	3.30	2.80						
3.40	3.20	2.72						
3.20	3.20	2.56						
3.10	3.10	2.48						
3.00	3.00	2.40						
2.80	2.90	2.24						
2.70	2.90	2.16						
2.70	2.80	2.16						
2.90	2.80	2.32						
3.00	2.80	2.40						
3.10	2.80	2.48						
3.20	2.80	2.56						
3.40	2.90	2.72						
3.50	2.90	2.80						
3.60	2.90	2.89						
3.80	3.00	3.05						
3.90	3.10	3.13						
4.00	3.10	3.21						
4.10	3.20	3.29						
4.20	3.30	3.37						
4.30	3.40	3.45						
4.50	3.50	3.61						
4.60	3.60	3.69						
4.70	3.70	3.77						
4.90	3.70	3.93						
5.00	3.80	4.01						
5.10	3.90	4.09						
5.20	4.00	4.17						
5.30	4.10	4.25						
5.50	4.20	4.41						
5.60	4.30	4.49						
5.70	4.30	4.57						
5.90	4.40	4.73						
6.00	4.60	4.81						
6.10	4.70	4.89						
6.20	4.80	4.97						
6.30	4.90	5.05						
6.40	5.00	5.13						
6.60	5.10	5.29						
6.70	5.20	5.37						
6.80	5.30	5.45						
6.90	5.30	5.53						
7.10	5.40	5.69						
7.20	5.60	5.77						
7.30	5.60	5.85						
7.30	5.70	5.85						
7.40	5.70	5.93						
8.20	6.10	6.57						
7.90	6.20	6.33						
8.00	6.20	6.41						
8.10	6.20	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.30	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.10	6.40	6.49						
8.30	6.50	6.65						
8.50	6.70	6.81						
8.80	6.80	7.05						
9.10	6.90	7.29						
9.30	7.10	7.45						
9.60	7.30	7.69						
9.80	7.40	7.85						
10.00	7.60	8.01						
10.30	7.80	8.25						
10.50	8.00	8.41						
10.80	8.10	8.66						
11.00	8.30	8.82						
11.30	8.50	9.06						
11.60	8.70	9.30						
11.80	8.80	9.46						
12.00	9.00	9.62						
12.30	9.20	9.86						
12.50	9.40	10.02						
12.80	9.60	10.26						
13.00	9.80	10.42						
13.30	10.00	10.66						
13.50	10.10	10.82						
13.80	10.30	11.06						
14.00	10.40	11.22						
14.30	10.70	11.46						
14.50	10.80	11.62						
14.80	11.00	11.86						
15.00	11.10	12.02						
15.00	11.20	12.02						
15.00	11.20	12.02						
15.00	11.20	12.02						
15.00	11.30	12.02						
15.00	11.30	12.02						
15.00	11.30	12.02						
15.20	11.40	12.18						
15.50	11.50	12.42						
15.80	11.80	12.66						
16.00	11.90	12.82						
16.20	12.10	12.98						
16.50	12.30	13.22						
16.70	12.50	13.38						
17.00	12.60	13.62						
17.20	12.80	13.78						
17.50	13.00	14.02						
17.70	13.20	14.18						
18.00	13.30	14.43						
18.20	13.50	14.59						
18.40	13.70	14.75						
18.70	13.90	14.99						
19.00	14.10	15.23						
19.20	14.20	15.39						
19.40	14.40	15.55						
19.70	14.60	15.79						
20.00	14.80	16.03						
20.20	15.00	16.19						
20.40	15.20	16.35						
20.70	15.40	16.59						
20.90	15.60	16.75						
21.20	15.80	16.99						
21.40	15.90	17.15						
21.70	16.20	17.39						
21.90	16.40	17.55						
22.20	16.50	17.79						
22.40	16.70	17.95						
22.70	16.90	18.19						
22.90	17.10	18.35						
23.20	17.30	18.59						
23.40	17.50	18.75						
23.70	17.60	18.99						
23.90	17.80	19.15						
24.20	18.00	19.39						
24.40	18.10	19.55						
24.70	18.30	19.79						
24.90	18.50	19.96						
25.00	18.60	20.04						
25.00	18.60	20.04						
25.00	18.60	20.04						
25.00	18.70	20.04						
25.00	18.70	20.04						
25.00	18.70	20.04						
25.20	18.90	20.20						
25.40	19.00	20.36						
25.70	19.20	20.60						
25.90	19.30	20.76						
26.20	19.50	21.00						
26.40	19.70	21.16						
26.60	19.90	21.32						
26.90	20.00	21.56						
27.20	20.20	21.80						
27.40	20.30	21.96						
27.60	20.50	22.12						
27.90	20.70	22.36						
28.20	20.90	22.60						
28.40	21.00	22.76						
28.60	21.30	22.92						
28.90	21.40	23.16						
29.10	21.60	23.32						
29.40	21.80	23.56						
29.70	22.00	23.80						
29.90	22.20	23.96						
30.10	22.40	24.12						
30.40	22.50	24.36						
30.60	22.70	24.52						
30.80	22.90	24.68						
31.10	23.10	24.92						
31.40	23.30	25.16						
31.60	23.50	25.32						
31.80	23.60	25.48						
32.10	23.90	25.73						
32.40	24.10	25.97						
32.60	24.20	26.13						
32.90	24.40	26.37						
33.10	24.60	26.53						
33.40	24.80	26.77						
33.60	25.00	26.93						
33.90	25.20	27.17						
34.10	25.30	27.33						
34.40	25.50	27.57						
34.60	25.70	27.73						
34.80	25.90	27.89						
35.00	26.00	28.05						
35.00	26.00	28.05						
35.00	26.00	28.05						
35.00	26.10	28.05						
35.00	26.10	28.05						
35.00	26.10	28.05						
35.00	26.10	28.05						
35.00	26.20	28.05						
35.00	26.20	28.05						
35.00	26.20	28.05						
35.00	26.20	28.05						
35.00	26.20	28.05						
35.00	26.20	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.30	28.05						
35.00	26.40	28.05						
35.00	26.40	28.05						
35.00	26.40	28.05						
35.00	26.40	28.05						
35.00	26.40	28.05						
35.00	26.40	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.50	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.60	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.70	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.80	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	26.90	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.00	28.05						
35.00	27.10	28.05						
35.00	27.10	28.05						
35.00	27.10	28.05						
35.00	27.10	28.05						
35.00	27.10	28.05						
35.00	27.10	28.05						
35.00	27.10	28.05						
35.00	27.10	28.05						
35.00	27.10	28.05						
