F	w1versuch4	w1
0.00	0.00	0.00
1.10	1.60	1.68
1.30	1.70	1.99
1.40	1.80	2.14
1.50	1.90	2.30
1.70	2.00	2.60
1.70	2.10	2.60
1.90	2.30	2.91
2.00	2.40	3.06
2.10	2.60	3.21
2.20	2.70	3.37
2.40	2.80	3.67
2.50	2.90	3.83
2.60	3.10	3.98
2.70	3.20	4.13
2.60	3.20	3.98
2.60	3.30	3.98
2.60	3.40	3.98
2.60	3.40	3.98
2.70	3.40	4.13
2.60	3.40	3.98
2.60	3.50	3.98
2.70	3.50	4.13
2.60	3.50	3.98
2.60	3.50	3.98
2.60	3.60	3.98
2.60	3.60	3.98
2.60	3.60	3.98
2.60	3.60	3.98
2.70	3.60	4.13
2.60	3.60	3.98
2.60	3.60	3.98
2.70	3.60	4.13
2.60	3.70	3.98
2.70	3.70	4.13
2.60	3.70	3.98
2.70	3.70	4.13
2.60	3.70	3.98
2.70	3.80	4.13
2.90	3.90	4.44
3.00	4.00	4.59
3.10	4.10	4.75
3.20	4.20	4.90
3.40	4.30	5.20
3.50	4.60	5.36
3.60	4.70	5.51
3.70	4.90	5.66
3.90	5.10	5.97
4.00	5.20	6.12
4.10	5.40	6.28
4.20	5.70	6.43
4.30	5.90	6.58
4.50	6.10	6.89
4.60	6.20	7.04
4.70	6.40	7.19
4.80	6.60	7.35
5.00	6.90	7.65
5.10	7.00	7.81
5.20	7.30	7.96
5.40	7.50	8.27
5.40	7.70	8.27
5.40	7.80	8.27
5.40	7.80	8.27
5.40	7.90	8.27
5.40	8.00	8.27
5.40	8.00	8.27
5.40	8.10	8.27
5.40	8.20	8.27
5.40	8.20	8.27
5.40	8.30	8.27
5.40	8.40	8.27
5.40	8.40	8.27
5.40	8.50	8.27
5.40	8.50	8.27
5.40	8.50	8.27
5.40	8.60	8.27
5.40	8.60	8.27
5.40	8.60	8.27
5.40	8.70	8.27
5.40	8.70	8.27
5.40	8.80	8.27
5.40	8.80	8.27
5.40	8.80	8.27
5.40	8.90	8.27
5.40	8.90	8.27
5.40	9.00	8.27
5.30	9.00	8.11
5.40	9.00	8.27
5.40	9.00	8.27
5.40	9.10	8.27
5.40	9.10	8.27
5.40	9.20	8.27
5.40	9.20	8.27
5.40	9.20	8.27
5.40	9.20	8.27
5.40	9.30	8.27
5.40	9.30	8.27
5.40	9.30	8.27
5.40	9.30	8.27
5.40	9.40	8.27
5.40	9.40	8.27
5.40	9.40	8.27
5.40	9.40	8.27
5.40	9.50	8.27
5.40	9.50	8.27
5.40	9.60	8.27
5.40	9.60	8.27
5.40	9.60	8.27
5.40	9.70	8.27
5.40	9.70	8.27
5.40	9.70	8.27
5.40	9.80	8.27
5.40	10.00	8.27
5.30	10.10	8.11
5.40	10.20	8.27
5.40	10.40	8.27
5.40	10.50	8.27
5.40	10.60	8.27
5.40	10.70	8.27
5.20	11.20	7.96
4.90	12.80	7.50
5.10	14.80	7.81
4.70	16.80	7.19
4.80	18.30	7.35
5.10	20.20	7.81
5.30	21.80	8.11
5.70	23.90	8.73
5.70	25.40	8.73
5.40	25.70	8.27
5.30	26.20	8.11
5.40	26.60	8.27
5.40	27.10	8.27
5.30	27.70	8.11
4.90	30.20	7.50
4.70	33.60	7.19
5.00	36.10	7.65
